GW-Nummer;Messstelle;Datum;Abstich [cm];LF [µS/cm];pH [ -];O2 [mg/l];O2-Sätt [%];Q [l/s];T [°C];F [mg/l];Mg [mg/l];PO4 [mg/l];NH4 [mg/l];Ca [mg/l];Cl [mg/l];DOC [mg/l];Fe [mg/l];Mn [mg/l];Na [mg/l];NO3 [mg/l];P, ges [mg/l];KS 4,3 [mmol/l];KS 8,2 [mmol/l];SO4 [mg/l];GH [mmol/l];Tr.quant [FNU];K [mg/l]
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;06.09.2006 13:15;;1.005;6.81;0.3;3;;15;;;;0.46;;;;;;;;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;21.03.2007 08:30;;1.323;6.81;0.2;2;;11.8;;;;0.77;;;;;;;1.7;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;30.08.2007 13:45;;1.057;6.87;;;;13.8;;27.7;0.1;0.56;195;35.1;;;;18.5;;0.173;7.82;;234;6.01;;22.2
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;05.03.2008 12:25;;1.243;;1.3;12;;10.8;;;;0.63;;;;;;;1.1;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;25.09.2008 08:45;;1.101;6.8;0.4;4;;13.2;;28.4;0.17;0.57;193;42.7;;;;20.8;;0.17;7.48;;265;5.98;;23.1
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;17.03.2009 10:35;;1.229;6.77;0.3;;;11.4;;;;0.62;;;;;;;1.5;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;24.06.2009 08:45;;1.124;6.9;0.5;4.7;;12.8;0.14;30;;0.50;205.4;42.1;6.9;5;0.35;22;;0.166;7.4;;278;6.36;38.2;25.8
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;23.09.2009 09:40;;1.127;6.85;;;;13.4;;34.5;;0.52;196;39.3;;;;21.1;;0.139;7.7;;260;6.3;;26
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;23.03.2010 09:15;;1.253;6.81;;;;11.1;;;;0.61;;;;;;;0.9;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;02.09.2010 08:40;;1.116;6.83;0.6;6;;12.8;;29.2;;0.65;212;43;;;;24.2;;0.12;7.2;;330;6.49;;25.9
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;17.03.2011 09:35;;1.177;6.87;3.6;34;;11;;;;0.51;;;;;;;0.9;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;12.09.2011 11:40;;1.147;6.92;0.4;4;;14.4;;31;0.05;0.54;207;44.7;;;;28;;0.22;7.9;;274;6.44;;27
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;05.03.2012 10:20;;1.237;;0.8;7;;10.4;;;;0.54;;;;;;;0.7;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;14.03.2013 10:25;;1.235;6.88;0.9;9;;10.6;;;;0.77;;;;;;;;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;18.09.2013 15:30;;1.18;6.87;1.3;12;;13.2;;31;;0.54;219;46;;;;29;;;7.58;;320;6.8;;29
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;17.09.2014 13:15;;1.18;6.87;;;;13.4;;28.3;0.1;0.48;201;46.4;;;;27.8;0.9;;7.69;;280;6.18;;27
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;06.11.2014 12:08;;1.122;6.83;;;;13.2;0.12;29.4;;0.51;204.4;45.8;7.5;4;0.30;27.1;;;7.6;;280;6.31;;26.4
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;18.03.2015 08:20;;1.133;6.84;2;19;;11;;;;0.50;;;;;;;1;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;09.09.2015 10:20;;1.19;;;;;13.5;;29.6;0.672;0.40;213;55.1;;;;29.1;;;7.3;;308;6.53;;29.1
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;03.03.2016 12:30;;1.23;6.84;0.2;2;;11.5;;;;0.43;;;;;;;0.6;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;12.09.2016 14:15;;1.14;6.8;0.3;3;;14.1;;30.6;0.79;0.55;209;35;;;;21.8;1.1;;7.5;;276;6.47;;26.1
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;09.03.2017 11:20;;1.134;6.87;1;9;;11.4;;;;0.57;;;;;;;;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;06.09.2017 11:15;;1.109;6.85;;;;14.2;;;;0.56;;;;;;;;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;23.03.2018 09:00;;1.19;6.74;;;;11.5;;;;0.74;;;;;;;;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;10.09.2018 10:20;;1.1;6.82;;;;14;;;;0.67;;;;;;;;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;22.11.2018 13:10;;1.027;;1.1;10;;12.6;0.12;27.7;0.141;0.65;214.7;41.3;7.1;4;0.30;23.6;;;7.8;;247;6.5;;25.5
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;13.03.2019 10:00;;1.31;6.84;;;;11.8;;;;0.80;;;;;;;;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;16.09.2019 10:50;;1.156;6.85;;;;14.2;;;;0.65;;;;;;;;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;13.09.2006 09:00;;488;7.42;;;;15.9;;;;;;;;;;;34.4;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;06.09.2007 10:00;;;7.5;;;;14.8;;;;0.01;;;;;;;33.4;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;23.09.2008 00:00;;490;7.42;5.3;48.2;;10.8;;;;;;;;;;;36;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;24.06.2009 11:10;;516;7.42;7.2;67;;12.3;;6.1;;0.01;101.7;15.2;0.4;;;5;36.3;0.005;4.2;;42;2.79;0.44;1.1
0270/210-2;BBR Altes WW, Durmersheim;21.09.2009 08:00;;508;7.38;5.4;49;;11.6;;6.3;;;104;14.8;;;;5.8;36;;4.1;;39.9;2.85;;0.97
0270/210-2;BBR Altes WW, Durmersheim;09.03.2010 10:00;;524;7.57;6.5;59;;11.2;;;;;;;;;;;36.6;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;15.09.2010 10:30;;558;7.44;6.3;59;;12.2;;;;;;;;;;;37.2;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;14.03.2011 10:50;;500;7.4;6;56;;11.2;;;;;;;;;;;36.8;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;15.09.2011 09:30;;528;7.45;7.3;68;;12;;;;;;;;;;;38.1;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;10.05.2012 09:20;;;7.33;5.9;54;;11.3;;6.6;;;97.6;14.6;0.3;;;5.7;36.8;;4.3;;35;2.71;;1
0270/210-2;BBR Altes WW, Durmersheim;11.09.2012 10:15;;518;;6.5;62;;12.6;;;;;;;;;;;34.5;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;19.03.2013 16:30;;495;7.47;5.6;53;;11.7;;;;;;;;;;;35;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;17.09.2013 09:00;;526;7.22;5.1;47;;11.2;;7;;;106;15.3;;;;6.6;37;;4.25;;;3.06;;1.1
0270/210-2;BBR Altes WW, Durmersheim;12.03.2014 08:50;;510;7.41;5.4;49;;11.2;;;;;;;;;;;34.1;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;02.09.2014 09:30;;509;7.48;5.9;56;;11.8;;6.3;;;102.1;15;0.3;;;6;36.6;;4.4;;35;2.81;;1
0270/210-2;BBR Altes WW, Durmersheim;08.09.2015 10:00;;514;7.44;6.9;65;;12.2;;;;;;;;;;;37.3;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;14.09.2016 07:52;;518;7.35;5.6;53;;11.4;;;;;;;;;;;34.9;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;14.09.2017 09:35;;517;7.35;5.2;53;;15.7;;;;;;;;;;;32.3;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;18.12.2017 10:25;;507;7.39;5.8;53;;11.2;0.05;6.6;;;106;14;0.35;;;6;35.5;;4.39;;41.4;2.92;;1.1
0270/210-2;BBR Altes WW, Durmersheim;13.09.2018 08:57;;506;7.36;6.7;61.5;;11.6;;;;;;;;;;;33.8;;;;;;;
0270/210-2;BBR Altes WW, Durmersheim;10.09.2019 07:44;;518;7.31;4.7;49;;16.2;;;;;;;;;;;35.7;;;;;;;
0091/210-6;BBR, Bietigheim;13.09.2006 11:55;;592;7.28;;;;;;;;;;;;;;;38.8;;;;;;;
0091/210-6;BBR, Bietigheim;13.08.2007 10:40;;583;7.25;9.8;99;;14.5;0.06;6.3;0.053;;111;28.8;0.49;;;15.4;35.3;0.018;4.82;;39.1;3.02;0.1;1.98
0091/210-6;BBR, Bietigheim;06.09.2007 10:25;;591;7.31;10.2;104;;15.5;;;;;;;;;;;38.3;;;;;;;
0091/210-6;BBR, Bietigheim;15.09.2008 08:30;;703;7.44;8.9;87.1;;14.9;;;;;;;;;;;38.3;;;;;;;
0091/210-6;BBR, Bietigheim;22.09.2009 08:15;;632;7.43;9.8;99;;15.6;;;;;;;;;;;38.3;;;;;;;
0091/210-6;BBR, Bietigheim;24.02.2010 13:15;;620;7.18;8.7;86;;13.5;0.05;7.2;0.031;;112.1;35.2;0.5;0.077;;18;35.9;0.012;4.9;;42;3.09;0.99;2.3
0091/210-6;BBR, Bietigheim;20.09.2010 16:20;;621;7.28;9.7;95;;14.7;;;;;;;;;;;35;;;;;;;
0091/210-6;BBR, Bietigheim;15.09.2011 08:30;;650;7.34;10.4;98;;12.4;;;;;;;;;;;35.9;;;;;;;
0091/210-6;BBR, Bietigheim;13.09.2012 15:35;;;7.27;9.1;91;;15;;;;;;;;;;;33.2;;;;;;;
0091/210-6;BBR, Bietigheim;03.09.2013 11:15;;656;7.29;8.9;91;;15.8;;;;;;;;;;;36.2;;;;;;;
0091/210-6;BBR, Bietigheim;04.09.2014 11:20;;657;7.3;8.4;88;;17.8;;;;0.02;;;;;;;37.3;;;;;;;
0091/210-6;BBR, Bietigheim;15.09.2015 11:25;;636;7.21;7.4;75;;14.4;;7.3;;;114.6;40.4;0.5;;;22;38.6;;5.1;;38;3.16;;2.3
0091/210-6;BBR, Bietigheim;12.09.2016 11:22;;612;7.18;8.4;85;;15.4;;;;;;;;;;;29.3;;;;;;;
0091/210-6;BBR, Bietigheim;14.06.2017 10:10;;606;7.25;7.7;79;;15.9;;6.6;0.043;;113;32.8;0.35;;;16.6;32.8;;5.03;;33.1;3.09;;2.4
0091/210-6;BBR, Bietigheim;14.09.2017 09:00;;631;7.26;8.3;84;;15.2;;;;;;;;;;;32.8;;;;;;;
0091/210-6;BBR, Bietigheim;18.09.2018 08:10;;632;;7.4;74.7;;15.3;;;;;;;;;;;33.8;;;;;;;
0091/210-6;BBR, Bietigheim;11.09.2019 13:50;;629;7.27;7.3;75;;16;;;;;;;;;;;33.2;;;;;;;
0263/210-2;BBR, Durmersheim;02.05.2006 10:42;;448;7.42;7.2;67;;11.4;;;;;;;;;;;30.9;;;;;;;
0263/210-2;BBR, Durmersheim;11.07.2006 10:51;;443;7.37;6.8;63;;11.7;;;;;;;;;;;26.4;;;;;;;
0263/210-2;BBR, Durmersheim;13.09.2006 09:50;;432;7.44;6.6;62.1;;12.1;;;;;;;;;;;27.9;;;;;;;
0263/210-2;BBR, Durmersheim;14.11.2006 10:00;;452;7.46;7.6;69.7;;11.3;;;;;;;;;;;36.8;;;;;;;
0263/210-2;BBR, Durmersheim;13.08.2007 09:35;;437;7.38;7.5;71;;12.4;0.05;4.1;;;94.9;13.3;0.37;;;5.4;32.2;0.007;3.65;;38.1;2.54;0.14;0.85
0263/210-2;BBR, Durmersheim;21.09.2009 09:10;;455;7.48;7.5;72;;12.2;;;;;;;;;;;36.2;;;;;;;
0263/210-2;BBR, Durmersheim;03.05.2010 10:00;;447;7.46;7.1;68;;11.7;;4.7;;;91;15.2;0.3;;;5;38.1;;3.6;;44;2.46;0.23;0.9
0263/210-2;BBR, Durmersheim;20.09.2011 09:45;;476;7.48;7;64.1;;11.4;;4;;;101.6;14;;;;6;44.3;0.02;3.6;;41.4;2.56;;0.9
0263/210-2;BBR, Durmersheim;11.09.2013 17:05;;475;7.44;6.9;65;;11.7;;4.7;0.04;;98.8;12.6;;;;4.8;41.9;;3.65;;39.2;2.66;;0.76
0263/210-2;BBR, Durmersheim;08.09.2014 10:02;;476;7.43;6.9;67;;12.5;;;;0.01;;;;;;;42.4;;;;;;;
0263/210-2;BBR, Durmersheim;15.09.2015 17:37;;459;7.36;7;67;;12.1;;4.7;;;91.4;11.2;0.3;;;5.4;42.8;;3.7;;36;2.47;;0.8
0263/210-2;BBR, Durmersheim;15.09.2016 00:00;;456;7.41;8.4;84;;12.1;;;;;;;;;;;36.3;;;;;;;
0263/210-2;BBR, Durmersheim;24.09.2018 09:50;;437;7.36;7;64;;11.9;;4.6;;0.05;93.5;11.4;;;;5.7;36.7;;3.75;;37.4;2.52;;0.79
0263/210-2;BBR, Durmersheim;11.03.2019 11:15;;455;7.36;6.7;62;;11;;5;;;91.2;11.4;0.39;0.016;;5.9;35;;3.65;;36.5;2.48;;0.83
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;13.09.2006 17:35;;729;7.23;5.3;51;;13.2;;;;0.06;;;;;;;12;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;22.03.2007 09:10;;716;7.23;5.1;49;;12.1;;;;0.07;;;;;;;13.7;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;30.08.2007 09:35;;734;7.26;4.9;46.7;;13;;19.6;;0.06;132;35.4;;;;14.7;14.9;0.007;5.31;;115;4.1;;3.7
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;10.03.2008 13:40;;739;;4.8;47.1;;12.8;;;;0.11;;;;;;;12.6;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;10.09.2008 11:00;;708;7.28;2.6;25.3;;13.6;;19.1;;0.10;126;36.8;;;;15.7;13.8;0.007;5.26;;118;3.93;;4
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;16.03.2009 15:55;;739;7.24;;;;13.1;;;;0.05;;;;;;;15.7;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;16.06.2009 11:20;;731;7.26;3.8;38.4;;15.2;0.1;18.4;;0.04;124.2;36;1;0.255;0.31;15;16.4;0.005;5.3;;113;3.86;3.4;4.7
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;10.09.2009 09:45;;632;7.28;3.5;34;;13.8;;18.4;;0.03;122;33.7;;;;16.8;17.5;0.003;5.27;;111;3.8;;4.5
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;11.03.2010 09:30;;721;7.44;4.4;41.6;;12.4;;;;0.04;;;;;;;17.7;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;15.09.2010 12:00;;715;7.33;8;77;;12.9;;19.7;;0.07;122;32.7;;;;16.7;12.5;0.007;5.28;;114;3.85;;3.8
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;09.03.2011 08:00;;659;7.66;6.9;55;;;;;;0.01;;;;;;;10.2;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;20.09.2011 10:30;;;7.64;3.3;34;;16.9;0.07;16.9;;0.04;79.7;32.1;0.8;;0.61;16.4;7.5;;3.5;;90;;;4.8
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;15.03.2012 10:55;366;715;7;2.6;24.6;;12.8;;;;;;;;;;;18;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;25.09.2012 17:00;378;721;7.12;2;19;;12.7;;13.8;;;121;33;;;;16.5;22;;4.9;;98;3.6;;4.4
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;12.03.2013 14:24;365;713;7.12;7.5;72;;12.1;;;;0.01;;;;;;;19.8;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;30.09.2013 11:15;351;;7.17;2.8;26.9;;13;;16.6;;0.01;120;32.1;;;;17.9;22.5;;5.15;;101;3.68;;5.8
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;17.03.2014 13:00;440;655;7.29;4.6;44;;12.6;0.1;13.3;;0.01;107.1;30.9;1.1;;;15.1;18.7;;4.9;;87;3.22;;6.3
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;10.09.2014 10:08;372;690;7.15;2.7;25.5;;12.9;;16.4;;0.02;118;32.2;;;;17.3;19.4;;5.2;;97.9;3.62;;5.4
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;16.09.2015 11:20;381;686;6.98;2.7;26.8;;12.8;;15.4;0.01;;113;34;;;;19.6;19.4;;4.8;;92;3.45;;5.94
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;02.03.2016 10:12;374;699;7.02;2.4;22.9;;12.9;;;;0.01;;;;;;;16.6;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;12.09.2016 13:10;380;691;7.16;3.8;35;;13;;16;;0.02;120;32;;;;17;21.5;;5.06;;96;3.7;;7.6
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;09.03.2017 10:00;368;680;7;2.5;23;;12.8;;;;;;;;;;;20;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;04.09.2017 16:10;376;690;6.97;2.3;22.1;;13.1;;;;0.02;;;;;;;17.2;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;06.03.2018 11:50;355;713;7;3;29;;12.6;;;;0.02;;;;;;;24.8;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;13.09.2018 10:45;390;726;6.98;2.6;25;;12.7;;;;0.07;;;;;;;27.2;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;06.11.2018 09:15;398;681;7.07;2.2;21;;12.9;0.1;15.6;;0.03;119.2;32.2;1.3;0.492;0.49;17.1;22.9;;5.3;;95;3.62;;5.8
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;27.03.2019 10:45;381;632;7.2;1.3;12.3;;13.6;;;;;;;;;;;15;;;;;;;
0353/258-0;BBR Firma Klöckner Pentaplast GmbH, Neudorf;11.09.2019 14:15;380;701;7.08;2.2;21.1;;13.4;;;;0.11;;;;;;;20.8;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;04.09.2006 08:55;;948;7.4;4.8;48;;15.9;;;;0.02;;;;;;;33;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;19.03.2007 10:15;;;7.11;2.3;23;;16.1;;;;0.01;;;;;;;32.5;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;19.09.2007 15:45;;965;7.19;1.1;12;;16.5;;20.9;0.062;0.01;174;40.7;;;;23.2;31.7;0.024;4.81;;264;5.2;;10.9
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;06.03.2008 10:45;;996;7.55;7.7;76;;14.8;;;;0.02;;;;;;;28.3;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;17.09.2008 10:05;;974;7.14;2;20;;16.1;;;0.053;;172;35.1;;;;25.5;25.8;0.019;5.3;;259;5.35;;11.3
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;09.03.2009 13:55;;925;;8.6;;;16;;;;0.02;;;;;;;;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;04.09.2009 11:20;;991;7.2;1.6;16;;16.4;0.05;22.7;0.064;0.02;181;43.7;1.4;0.186;0.22;27;26.1;0.027;4.9;;270;5.45;1.86;13.4
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;17.03.2010 09:25;;916;7.41;2.8;27;;15;;;;0.03;;;;;;;23;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;23.09.2010 10:30;;901;7.31;4.1;44;;17.4;;19.7;;0.03;159;43;;;;32.9;36;0.017;4.98;;;4.78;;17.4
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;29.03.2011 11:45;;1.023;7.27;2.5;26;;16.7;;;;0.02;;;;;;;20.8;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;03.05.2011 13:25;;974;7.19;1.6;17;;16.2;;23.1;0.043;0.02;187.2;49.3;1.3;0.215;0.24;27.8;21.3;;4.9;;280;5.62;;13.1
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;05.09.2011 13:30;;923;7.13;2.3;23;;16.1;;20.9;0.067;;172;35.5;;;;23.5;21.4;0.03;5.25;;245;5.15;;12.5
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;20.03.2012 13:00;;977;7.29;3.4;34;;15.3;;;;0.02;;;;;;;21.7;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;06.09.2012 10:10;;967;7.17;1.8;18;;15.8;;24.4;;0.02;189;45.7;;;;23.9;24;;4.86;;297;5.72;;13
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;26.03.2013 10:45;;1.004;7.07;3.5;35;;13.5;;;;0.02;;;;;;;22.1;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;16.09.2013 14:20;;;;1.5;15.5;;15.8;;20.2;;0.02;192;49.1;;;;25;22.6;;4.9;;279;5.62;;13
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;26.11.2013 09:30;;1.016;7.2;1.6;16;;15.4;;21.8;0.043;0.02;179.4;49.3;1.7;0.219;0.21;23;22.6;;5;;279;5.37;;12.5
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;28.03.2014 10:00;;1.05;7.37;2.3;22;;15;;;;0.03;;;;;;;15.4;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;16.09.2014 09:50;;;7.12;1.1;10;;15.7;;24.2;0.064;0.03;185;46;;;;25.7;17.1;;4.83;;295;5.61;;13.3
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;12.03.2015 09:45;;982;7.24;1.5;15;;15.6;;;;0.02;;;;;;;18.4;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;17.09.2015 10:20;;1.02;7.11;1.7;17;;15.7;;22.5;0.079;0.03;176;44;;;;24.3;17.4;;4.7;;293;5.32;;11.9
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;22.03.2016 10:15;;985;7.14;1.7;18;;16;;;;0.03;;;;;;;18;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;13.09.2016 12:45;;899;7.26;2.4;25;;16;;24;0.05;0.04;190;48;;;;24;18;;5.03;;300;5.73;;15
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;09.03.2017 11:20;;1.02;7;1.8;18;;15.7;;;;0.03;;;;;;;16;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;06.09.2017 08:40;;1.02;7.2;1.3;13;;16.3;;;;0.03;;;;;;;17;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;12.03.2018 08:45;;999;7.23;2.4;25;;15.9;;;;0.03;;;;;;;17;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;24.05.2018 07:45;;930;7.1;1.6;17;;16.1;;25.3;;0.03;207;48.6;1.7;0.345;0.29;22.8;18.9;;5;;310;6.21;;13.4
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;30.08.2018 07:15;;1.012;6.75;1.3;14;;16.3;;;;0.06;;;;;;;18;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;13.03.2019 10:00;;1.028;7.2;1.8;19;;16.1;;;;0.04;;;;;;;17.4;;;;;;;
0944/307-2;BBR Firma Schaumaplast GmbH neu, Reilingen;04.09.2019 10:05;;972;7.22;1.3;13;;16.5;;;;0.07;;;;;;;18;;;;;;;
1135/308-8;BBR, Graben-Neudorf;07.09.2006 15:42;541;799;7.22;0.3;3;;12.5;;;;0.01;;;;;;;8.8;;;;;;;
1135/308-8;BBR, Graben-Neudorf;22.03.2007 10:25;480;794;7.33;0.6;6;;11;;;;0.02;;;;;;;15.3;;;;;;;
1135/308-8;BBR, Graben-Neudorf;14.08.2007 15:29;510;795;7.08;;;;12.1;0.15;23.8;0.045;0.02;138;52.1;1.21;1;0.11;18.2;4.3;0.013;5.99;;130;4.42;3.32;4.42
1135/308-8;BBR, Graben-Neudorf;30.08.2007 11:00;526;823;7.19;;;;11.7;;25;0.13;0.02;140;51;;;;18.4;4.6;0.042;5.88;;128;4.52;;4.2
1135/308-8;BBR, Graben-Neudorf;13.03.2008 11:40;542;827;;0.2;2.2;;11.8;;;;0.02;;;;;;;8.3;;;;;;;
1135/308-8;BBR, Graben-Neudorf;10.09.2008 11:50;543;816;7.26;0.4;4;;11.8;;25.1;0.01;0.05;134;48.4;;;;19.6;5.7;0.06;5.9;;129;4.38;;4.3
1135/308-8;BBR, Graben-Neudorf;13.03.2009 17:10;541;809;;0.1;;;11.8;;;;0.02;;;;;;;9.4;;;;;;;
1135/308-8;BBR, Graben-Neudorf;22.09.2009 13:40;551;815;7.12;;2;;12;;29.1;0.165;0.01;133;50.9;;;;19.6;9.8;0.06;5.8;;129;4.52;;4.4
1135/308-8;BBR, Graben-Neudorf;18.03.2010 12:35;504;783;7.26;0.2;2;;12;0.18;25.4;0.034;0.02;136;45.5;1.3;2;0.07;20;8.4;0.075;5.9;;128;4.44;14.2;4.6
1135/308-8;BBR, Graben-Neudorf;22.09.2010 13:15;523;781;7.29;0.2;2;;12.1;;26.5;;0.01;134;43;;;;18.4;2.8;0.044;6;;130;4.43;;3.7
1135/308-8;BBR, Graben-Neudorf;02.03.2011 08:40;475;823;7.23;1.6;15;;10.5;;;;;;;;;;;9.7;;;;;;;
1135/308-8;BBR, Graben-Neudorf;07.09.2011 14:01;522;782;7.31;0.1;1;;11.8;;27;0.13;;139;46.1;;;;19;4.5;0.05;6.18;;126;4.58;;4.8
1135/308-8;BBR, Graben-Neudorf;08.03.2012 11:30;516;836;7.19;;;;11.6;;;;0.01;;;;;;;5.9;;;;;;;
1135/308-8;BBR, Graben-Neudorf;25.09.2012 14:35;554;828;7.23;0.3;3;;11.9;;24.8;;0.03;134.3;45;;;;20.3;4.4;0.054;5.7;;125;4.4;;3.4
1135/308-8;BBR, Graben-Neudorf;25.03.2013 14:05;435;820;7.12;1.4;13;;11.4;;;;0.02;;;;;;;7.1;;;;;;;
1135/308-8;BBR, Graben-Neudorf;11.09.2013 10:45;510;804;7.23;;;;11.7;;25;;0.01;136;42;;;;20;5.2;;6.13;;125;4.4;;4
1135/308-8;BBR, Graben-Neudorf;24.03.2014 08:41;460;;7.23;0.2;2;;11.5;;;;;;;;;;;14;;;;;;;
